# Program:featureCounts v1.5.3; Command:"featureCounts" "-Q" "10" "-T" "3" "-a" "/home/hub/genomes/Hsapiens/Homo_sapiens.GRCh38.90.chr1.gtf" "-o" "/home/hub/RNA_Practical/aligned/counts/counts.out" "/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam
ENSG00000143110	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111473792;111473869;111474568;111476018;111476018;111476798;111476798;111476798;111477334;111477334;111477651;111477726;111477983;111477983;111477983	111474030;111474030;111476065;111476065;111476065;111477078;111476867;111476867;111477428;111477428;111477775;111477775;111478472;111478511;111478512	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2768	1329	2164	1557	2237	2725	2323
ENSG00000121933	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111483348;111483348;111483348;111483569;111485315;111485740;111485740;111485740;111485740;111486586;111486586;111486586;111486586;111486586;111486639;111488677;111488677;111488677;111488677;111488677;111488677;111489467;111489627;111490656;111490656;111503005;111563846;111563846	111483757;111483757;111483757;111483757;111485840;111485840;111485840;111485840;111485840;111486652;111486652;111486652;111486652;111486652;111486652;111489024;111488824;111488867;111489024;111489024;111489024;111489690;111489662;111490762;111490762;111503488;111563934;111563962	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2283	127	233	265	178	219	322
ENSG00000200360	1	111490317	111490423	-	107	0	0	0	0	0	0
ENSG00000282608	1;1;1;1;1;1;1;1	111499429;111499828;111499931;111500510;111503005;111503005;111503005;111503499	111500556;111500620;111500556;111501359;111503087;111503760;111503412;111503633	-;-;-;-;-;-;-;-	2687	923	2019	1496	1852	901	1303
ENSG00000116473	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111542218;111619777;111619783;111627469;111627470;111691334;111691334;111691334;111691334;111695341;111695341;111695341;111695341;111697441;111697441;111697441;111697441;111703336;111703336;111703336;111703336;111704343;111704343;111704343;111704343;111706663;111709149;111709149;111709149;111712431;111712431;111712431	111542509;111619934;111619934;111627559;111627563;111691417;111691417;111691417;111691417;111695409;111695409;111695409;111695409;111697497;111697497;111697497;111697497;111703476;111703476;111703476;111703476;111704486;111704486;111704405;111704486;111706777;111709264;111709264;111709264;111712696;111716691;111713113	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5532	9846	14647	12441	10760	15366	14876
ENSG00000231346	1;1;1;1;1;1;1;1;1;1;1;1;1	111599655;111599865;111602192;111602192;111604369;111604369;111604380;111604629;111604629;111604629;111608136;111608136;111608213	111600095;111600095;111602333;111602255;111604500;111604500;111604500;111604702;111604702;111604702;111608324;111608318;111608723	-;-;-;-;-;-;-;-;-;-;-;-;-	1377	0	0	0	0	0	0
ENSG00000215867	1	111648291	111649544	-	1254	2	3	3	6	2	5
ENSG00000201028	1	111650431	111650537	-	107	0	0	0	0	0	0
ENSG00000197852	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111680630;111686546;111722064;111722351;111726506;111727344;111727564;111739186;111739186;111739186;111739186;111745299;111746709;111747491;111753098;111753775;111755288;111755701	111680774;111686683;111727804;111723148;111727804;111727831;111727804;111739253;111739363;111739424;111739403;111747704;111746960;111747699;111753254;111755537;111755509;111755824	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10740	670	3244	457	3375	2896	1107
ENSG00000227811	1;1;1;1;1	111739841;111739853;111744375;111746060;111746060	111740077;111740077;111744529;111747798;111746613	+;+;+;+;+	2131	27	3	19	2	2	18
ENSG00000064703	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111755245;111755305;111755813;111756646;111756646;111759400;111760397;111760474;111760474;111760706;111760706;111760706;111760987;111760987;111761082;111761226;111761226;111761226;111762255;111762255;111762255;111762417;111762677;111762677;111762906;111762906;111762906;111765737;111765737;111765737;111765737	111755394;111756225;111756225;111756740;111756740;111759568;111760588;111760588;111760588;111763007;111760848;111760848;111761125;111761125;111761125;111761284;111761284;111761284;111762488;111762337;111762337;111762782;111762782;111762782;111763007;111763007;111763007;111765830;111767574;111768016;111765830	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6019	481	2364	470	2176	2478	293
ENSG00000171385	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	111770662;111775809;111775809;111777026;111777026;111777026;111778436;111780225;111780225;111780225;111780690;111780690;111780690;111786944;111786944;111786944;111981621;111981621;111981621;111988748;111988748	111776278;111776278;111776278;111777273;111777273;111777273;111778492;111780314;111780314;111780314;111780791;111780791;111780791;111787106;111787106;111787106;111982798;111982798;111982796;111989155;111989155	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7863	1275	3253	1289	3420	4026	1391
ENSG00000232558	1;1	111853762;111856818	111854049;111856905	-;-	376	0	0	0	0	0	0
ENSG00000237556	1;1;1;1;1;1;1;1;1;1	111909336;111909648;111909657;111909685;111909842;111910123;111910123;111910123;111910786;111910786	111909529;111909893;111909893;111909716;111909893;111910313;111910276;111910161;111910930;111910931	+;+;+;+;+;+;+;+;+;+	777	0	0	0	0	0	0
ENSG00000231437	1;1;1;1;1;1	111989770;111990296;111990536;111990568;111990568;111996427	111990188;111990398;111991187;111991173;111991123;111998842	+;+;+;+;+;+	3590	118	72	73	49	67	78
ENSG00000231246	1;1	112177234;112360362	112177613;112360528	-;-	547	0	0	0	0	0	0
ENSG00000234388	1	112363281	112363581	+	301	0	0	0	0	0	0
ENSG00000238761	1	112371004	112371107	+	104	0	0	0	0	0	0
ENSG00000143079	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112396181;112396519;112412194;112412194;112414717;112415833;112416157;112416157;112448942;112448942;112454449;112454449;112455931;112455931;112456818;112462555	112396272;112396585;112412317;112412317;112414907;112416287;112416264;112416264;112449172;112449172;112454556;112454556;112456306;112461164;112457374;112463456	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7404	5052	11470	6610	5774	6637	8118
ENSG00000283296	1	112461770	112461833	-	64	0	0	0	0	0	0
ENSG00000134245	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112466541;112467434;112491011;112508778;112514752;112514874;112514874;112514874;112516140;112516140;112516140;112516140;112517121;112517121;112517121;112520280;112520280;112520280	112467591;112467591;112491081;112509444;112515094;112515094;112515094;112515094;112516417;112516417;112516417;112516417;112517385;112517385;112517385;112522666;112530165;112521283	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12561	1942	2003	1813	1583	2090	2116
ENSG00000273483	1	112517799	112518441	-	643	0	0	0	0	0	0
ENSG00000007341	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112523518;112523518;112523518;112523518;112525282;112525530;112525876;112525879;112525883;112525986;112526886;112539159;112540779;112540779;112540779;112541790;112541790;112541790;112541794;112541951;112541951;112541951;112541951;112541951;112541951;112541951;112541951;112541951;112550601;112550601;112550601;112550601;112550601;112550601;112550601;112550601;112550601;112550601;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112555868;112571275;112576986;112576986;112576986;112576986;112576986;112576986;112576986;112576986;112576986;112576986;112576986;112578345;112578345;112578345;112578345;112578345;112578345;112578345;112578345;112578345;112578345;112578345;112581992;112581992;112581992;112581992;112581992;112581992;112581992;112581992;112581992;112581996;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112582375;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583972;112583975;112591482;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112591525;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112597971;112598022;112598022;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112600794;112607104;112607241;112610455;112610455;112610455;112610459;112610658;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112610841;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112616813;112618007;112618247;112618784;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112618909;112619197;112619397;112619644;112619644;112619644;112619910	112526111;112526111;112526111;112526111;112526111;112526111;112526111;112526111;112526111;112526111;112526952;112539275;112540872;112540872;112540872;112542090;112542090;112542090;112542090;112542090;112542090;112542090;112542090;112541975;112542090;112542090;112542090;112542090;112550693;112550693;112550693;112550693;112550693;112550693;112550693;112550693;112550693;112550693;112556018;112556018;112556018;112556018;112556018;112556018;112556018;112555876;112556018;112556018;112556018;112556018;112571351;112577088;112577088;112577088;112577088;112577088;112577088;112577088;112577088;112577088;112577088;112577088;112578417;112578417;112578417;112578417;112578417;112578417;112578417;112578417;112578417;112578417;112578417;112582106;112582106;112582106;112582106;112582106;112582106;112582106;112582106;112582106;112582106;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112582472;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112584126;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112591603;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112598086;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112600848;112607597;112607597;112610690;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112610962;112611003;112611003;112610906;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112611003;112616895;112616895;112616895;112617286;112616895;112616895;112616895;112616895;112616895;112616895;112616895;112616844;112616895;112616844;112616895;112616895;112616895;112616895;112616895;112618217;112618369;112618928;112619139;112619111;112619111;112619126;112619099;112618941;112619117;112619189;112619189;112619103;112619189;112619113;112619139;112619418;112619189;112619144;112619664;112619672;112619796;112619774;112619783;112620825	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8111	768	893	1058	666	852	723
ENSG00000116489	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112619173;112619805;112619819;112619832;112646755;112647210;112647210;112647210;112647210;112649418;112649418;112649418;112649418;112653598;112653598;112654465;112654465;112659022;112659022;112659022;112659329;112659701;112659701;112659701;112666920;112667074;112667074;112667074;112667074;112669543;112669543;112669543;112669543;112669992;112669992;112669992	112619883;112619883;112619883;112619883;112646794;112647273;112647273;112647273;112647273;112649469;112650013;112649469;112649469;112653661;112653661;112654671;112654671;112659101;112659101;112659101;112659779;112659779;112659779;112659779;112667145;112667145;112667085;112667145;112667145;112669605;112669594;112669605;112669605;112670170;112670383;112671619	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4130	4819	29896	8649	18128	22445	5140
ENSG00000235299	1	112625906	112626224	-	319	0	0	0	0	0	0
ENSG00000252750	1	112634719	112634784	-	66	0	0	0	0	0	0
ENSG00000155363	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112673141;112674421;112674487;112674698;112674706;112674709;112674720;112674737;112674745;112674832;112674832;112674832;112674848;112674848;112674848;112674848;112685035;112686966;112686966;112686966;112688328;112688328;112688328;112688935;112688935;112688935;112688935;112688935;112689415;112689415;112689415;112689415;112689415;112689415;112689415;112689840;112689840;112689840;112689840;112689840;112689840;112691665;112691665;112691665;112691665;112691665;112691665;112692761;112692761;112692761;112692761;112692761;112692761;112693905;112694018;112694018;112694018;112694018;112694018;112694018;112694453;112694453;112694453;112694453;112694453;112694453;112694453;112694749;112694749;112694749;112694749;112694749;112694749;112695416;112695416;112695416;112695416;112695416;112695416;112696148;112696148;112696148;112696148;112696148;112696148;112696437;112696437;112696437;112696437;112696437;112696437;112696630;112696630;112696630;112696630;112696630;112696630;112696739;112696819;112697860;112697994;112697994;112697994;112697994;112697994;112697994;112697994;112697994;112697994;112698287;112698287;112698287;112698287;112698287;112698287;112698287;112698287;112698287;112698308;112698308;112698638;112698657;112698715;112698715;112698715;112698715;112698715;112698715;112698715;112699458;112699624;112699685;112699685;112699685;112699685;112699685;112699685;112699687;112699894;112699894;112699894;112699894;112699894;112699894;112699894;112699894;112699894;112700219;112700219;112700219;112700219;112700219;112700219;112700219;112700416;112700416;112700416;112700416;112700416;112700416;112700416;112700416	112673451;112674729;112674729;112674729;112674729;112674729;112674729;112675049;112675049;112675049;112675049;112675049;112675049;112675049;112675049;112674883;112685162;112687106;112687106;112687106;112688483;112689138;112689138;112689138;112689138;112689138;112689138;112689138;112689650;112689650;112689441;112689650;112689650;112689650;112689650;112690098;112690098;112690098;112690098;112690098;112690098;112691799;112691799;112691799;112691799;112691799;112691799;112692929;112692929;112692929;112692929;112692929;112692929;112694172;112694172;112694172;112694172;112694172;112694172;112694172;112694584;112694629;112694629;112694629;112694629;112694629;112694629;112694896;112694896;112694896;112694896;112694896;112694896;112695574;112695574;112695574;112695574;112695574;112695574;112696251;112696251;112696251;112696251;112696251;112696251;112696534;112696534;112696534;112696534;112696534;112696534;112696846;112696846;112696846;112696846;112696846;112696846;112696846;112696846;112697890;112698111;112698111;112698111;112698111;112698111;112698111;112698111;112698111;112698111;112698478;112698478;112698478;112698478;112699810;112698789;112698478;112698478;112698478;112698367;112698478;112698679;112698975;112698789;112698789;112699192;112698789;112698789;112698789;112698789;112699810;112699810;112699761;112699810;112699810;112699810;112699810;112699810;112699810;112699982;112699982;112700340;112699982;112700340;112699982;112699982;112699982;112699982;112700725;112700340;112700340;112700340;112700340;112700340;112700340;112700739;112700722;112700710;112700726;112700734;112700734;112700739;112700746	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6509	2327	5313	2634	3585	4076	2317
ENSG00000225075	1;1;1	112693688;112694501;112696600	112693850;112694764;112696621	-;-;-	449	16	2	3	0	4	29
ENSG00000155366	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112701106;112701127;112701131;112701133;112701210;112701275;112701313;112701325;112701338;112701437;112701520;112701556;112701614;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702563;112702588;112702606;112702671;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112702999;112703001;112703384;112703384;112703384;112703493;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112703644;112704282;112704640;112704893;112704939;112705053;112705100;112705100;112705100;112705100;112705100;112705100;112705100;112705100;112705100;112705100;112705100;112705605;112706732;112706833;112706833;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078;112707078	112701713;112701713;112701713;112701713;112701713;112701713;112701713;112701695;112701713;112701713;112701713;112701713;112701713;112702693;112702693;112702693;112702693;112703119;112702693;112702693;112702693;112702693;112702693;112702693;112702693;112702693;112702693;112702693;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703119;112703457;112703457;112703457;112703806;112703806;112703806;112703806;112703806;112703806;112703806;112703806;112703806;112703806;112703653;112703806;112703806;112703806;112703806;112703806;112703806;112703806;112704440;112705168;112704921;112704997;112705168;112705168;112705168;112705201;112705168;112705168;112705168;112705123;112705123;112706252;112705168;112705168;112705733;112707079;112707056;112707056;112707114;112707127;112707116;112707159;112707102;112707133;112707125;112707120;112707135;112707102;112707127;112707434;112707403	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4028	204	11945	294	10587	12444	295
ENSG00000271810	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112702614;112702648;112702648;112702648;112702648;112702999;112702999;112702999;112702999;112702999;112703644;112703644;112703644;112703644;112703644;112705100;112710460;112710460;112710460;112710460;112710460;112710744;112710744;112710744;112710744;112710744;112711008;112711008;112711008;112711266;112711266;112711266;112711266	112702693;112702693;112702693;112702693;112702693;112703119;112703119;112703119;112703119;112703119;112703806;112703806;112703806;112703806;112703806;112705168;112710611;112710611;112710611;112710611;112710611;112710851;112710851;112710851;112710851;112710851;112711071;112711071;112711224;112711355;112711355;112711355;112711433	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1078	0	0	0	0	0	0
ENSG00000155367	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112709994;112709994;112709998;112710460;112710460;112710460;112710744;112710744;112710744;112711008;112711008;112711008;112711266;112711266;112711266;112711971;112711971;112711971;112711993;112712345;112712345;112712345;112712345;112712744;112712744;112712744;112712744;112712921;112713497;112713497;112713497;112713497;112714058;112714234;112714634;112714976;112714976;112714976;112714976	112710310;112710072;112710310;112710611;112710611;112710611;112710851;112710851;112710851;112711071;112711071;112711071;112711384;112711384;112711474;112712055;112712055;112712055;112712055;112712457;112712457;112712457;112712460;112713031;112712803;112713031;112713031;112713031;112713611;112713611;112713611;112713611;112715291;112714727;112714727;112715328;112715303;112715477;112715255	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2874	1910	79	997	127	168	580
ENSG00000261595	1	112715672	112717796	+	2125	0	0	0	0	0	0
ENSG00000184599	1;1;1;1;1;1;1;1;1;1	112720419;112720577;112722233;112722233;112723016;112723016;112723945;112724013;112726629;112726629	112720634;112720634;112722348;112722348;112723165;112723165;112724137;112724137;112727235;112727235	+;+;+;+;+;+;+;+;+;+	1282	9	6	20	21	2	11
ENSG00000234790	1	112748095	112748475	+	381	0	0	0	0	0	0
ENSG00000215866	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112820170;112820174;112820290;112823653;112823653;112823653;112825513;112825513;112825513;112828477;112840488;112840488;112848954;112849680;112849680;112849680	112820538;112820541;112820538;112823754;112823754;112823754;112825672;112825672;112825672;112828511;112840580;112840580;112849050;112849777;112850643;112849815	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1823	6	3	7	5	1	4
ENSG00000224167	1;1;1;1;1	112850028;112850076;112876940;112877730;112877730	112850427;112850427;112876984;112877871;112877867	+;+;+;+;+	587	0	0	0	0	0	0
ENSG00000228040	1	112890767	112890922	-	156	0	0	0	0	0	0
ENSG00000155380	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112911847;112911852;112914025;112917178;112917178;112917178;112917516;112917760;112918018;112921990;112921990;112921990;112921990;112921990;112921990;112929048;112929092;112929092;112929092;112929092;112929092;112935824;112955276;112955276;112956035;112956035;112956839	112914165;112914165;112914165;112918044;112918044;112918044;112918044;112918044;112918044;112922392;112922133;112922133;112922133;112922133;112922133;112929352;112929352;112929352;112929352;112929352;112929352;112935988;112956063;112956063;112956181;112956353;112957013	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5312	706	9129	777	9952	7887	495
ENSG00000229020	1	112923423	112924337	+	915	13	5	1	27	0	11
ENSG00000226419	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	112956415;112956429;112956461;112956520;112956824;112960477;112960477;112960477;112960477;112960477;112963972;112968035;112968035;112998930;112998930;113008130;113008254;113033673;113033675;113046786;113046786;113046786	112956956;112956956;112957722;112956956;112956956;112960575;112960575;112960575;112960575;112960575;112964072;112975430;112968398;112999109;112999496;113008360;113008360;113033838;113033838;113047055;113047051;113047055	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10138	240	10	111	46	48	171
ENSG00000238198	1;1;1	113011687;113048423;113072939	113013839;113048561;113073105	-;-;-	2459	8	49	11	106	0	12
ENSG00000198799	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	113073209;113091318;113093206;113093430;113094339;113094612;113095874;113096222;113098705;113098723;113100211;113100211;113100211;113100397;113100420;113100420;113100420;113103201;113103609;113107594;113107594;113107594;113107594;113110242;113110242;113110242;113112479;113112479;113112479;113114427;113114427;113114427;113116287;113116287;113116287;113119233;113119233;113119233;113123875;113123875;113123875	113073645;113091383;113093280;113093564;113094482;113094755;113096017;113096365;113098785;113098785;113100282;113100282;113100282;113100488;113100712;113100488;113100488;113103785;113103735;113107757;113107826;113107757;113107757;113110562;113110562;113110562;113112760;113112760;113112760;113114876;113114876;113114876;113116436;113116436;113116436;113119523;113119523;113119523;113124997;113127200;113132260	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12456	9937	2271	15745	1298	1064	15334
ENSG00000237278	1	113125321	113126883	-	1563	0	0	0	0	0	0
ENSG00000233839	1	113168994	113169403	+	410	0	2	12	6	3	5
ENSG00000236887	1	113198825	113199258	+	434	0	0	0	0	0	0
